ordernumber;mainnumber;name;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;categories
G10130;G10130;Boczek szlachecki Korona parzony;Eigenmarke;5,00;6,79;0;;1;beliebig;;;;;;1;38
G10131;G10131;Boczek szlachecki parzony 1kg;Eigenmarke;5,00;4,99;0;;1;beliebig;;;;;;1;38
G10132;G10132;Boczek Wedzara;Eigenmarke;5,00;6,49;0;;1;beliebig;;;;;;1;38
G10133;G10133;Boczek Wedzony Parzony Paski;Eigenmarke;5,00;7,49;0;;1;beliebig;;;;;;1;38
G10134;G10134;Boczek Zbojnicki;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;38
G10135;G10135;Boczek z CZOSNKEM  Handerek;Eigenmarke;5,00;7,29;0;;1;beliebig;;;;;;1;38
G10136;G10136;Boczek z kamina;Eigenmarke;5,00;8,99;0;;1;beliebig;;;;;;1;38
G10137;G10137;Bonduelle Groszek Konserwowy Tradycyjny 400g x 12St.;Eigenmarke;5,00;9;0;;1;beliebig;;;;;;1;39
G10138;G10138;Bonduelle Leczo;Eigenmarke;5,00;14,32;0;;1;beliebig;;;;;;1;39
G10139;G10139;Bonduelle Meis 170 ml x 6 st;Eigenmarke;5,00;3,9;0;;1;beliebig;;;;;;1;39
G10140;G10140;Bonduelle Meis 425ml  340 gr x 12 st;Eigenmarke;5,00;11,88;0;;1;beliebig;;;;;;1;39
G10141;G10141;Borowik Suszony (20St. x 40g);Eigenmarke;5,00;55,8;0;;1;beliebig;;;;;;1;39
G10142;G10142;Borowik szlachetny Suszony 40g x 10st.;Eigenmarke;5,00;2,79;0;;1;beliebig;;;;;;1;39
G10143;G10143;Boszek Chlopski Nik Pol;Eigenmarke;5,00;8,99;0;;1;beliebig;;;;;;1;38
G10144;G10144;Bozek Angielski 1/2 KIER  kleine;Eigenmarke;5,00;5,99;0;;1;beliebig;;;;;;1;38
G10145;G10145;Bozek Goralski;Eigenmarke;16,00;6,99;0;;1;beliebig;;;;;;1;38
G10146;G10146;Bozek Grillowy;Eigenmarke;5,00;5,99;0;;1;beliebig;;;;;;1;38
G10147;G10147;Bozek Krawatka Taurus;Eigenmarke;5,00;4,99;0;;1;beliebig;;;;;;1;38
G10148;G10148;Bozek Krolewski Gotowany DDB;Eigenmarke;5,00;5,99;0;;1;beliebig;;;;;;1;38
G10149;G10149;Bozek Morawski 1/2 kleine;Eigenmarke;5,00;5,99;0;;1;beliebig;;;;;;1;38
G10150;G10150;Bozek Parzony ESPORT;Eigenmarke;5,00;4,99;0;;1;beliebig;;;;;;1;38
G10151;G10151;Bozek Paski;Eigenmarke;5,00;6,39;0;;1;beliebig;;;;;;1;38
G10152;G10152;Bozek Peszony Delikatesowe;Eigenmarke;5,00;7,69;0;;1;beliebig;;;;;;1;38
G10153;G10153;Bozek Tradyzyjna  Wyrabjany;Eigenmarke;5,00;5,59;0;;1;beliebig;;;;;;1;38
G10154;G10154;Bozek z Beczki JBB LUX !;Eigenmarke;5,00;7,49;0;;1;beliebig;;;;;;1;38
G10155;G10155;Brzesc Ciasteczka Franzuskie 250gr x12  st;Eigenmarke;5,00;15;0;;1;beliebig;;;;;;1;58
G10156;G10156;Brzoskwinya POL 820 ml x 12 st;Eigenmarke;5,00;14,28;0;;1;beliebig;;;;;;1;39
G10157;G10157;Buchenwurst Extra;Eigenmarke;5,00;3,79;0;;1;beliebig;;;;;;1;38
G10158;G10158;Budyn Malina 60grx 30st  Wynjary;Eigenmarke;5,00;9,9;0;;1;beliebig;;;;;;1;24
G10159;G10159;Bukowa Wurst JBB;Eigenmarke;5,00;2,99;0;;1;beliebig;;;;;;1;38
G10160;G10160;Bulijon Drobiowy 180 g  x 16 st Rasol;Eigenmarke;5,00;15,84;0;;1;beliebig;;;;;;1;45
G10161;G10161;Bulijon Drobiowy 60grx20st Winyary;Eigenmarke;5,00;9;0;;1;beliebig;;;;;;1;53
G10162;G10162;Buraczki Wiorki, pasteryzowane, 420ml x 6 St.;Eigenmarke;5,00;4,74;0;;1;beliebig;;;;;;1;41
G10163;G10163;Buratschki Objadowe 490 gr x 8 st Frubex;Eigenmarke;5,00;5,52;0;;1;beliebig;;;;;;1;41
G10164;G10164;Buratschki  wiorki 460g x 8St . Frubex;Eigenmarke;5,00;5,52;0;;1;beliebig;;;;;;1;41
G10165;G10165;Buratschki z Paprika 900 ml x 8 st;Eigenmarke;5,00;7,92;0;;1;beliebig;;;;;;1;41
G10166;G10166;Butermilch OSM Czarnkow Maslanka  1L x 6St.;Eigenmarke;5,00;4,74;0;;1;beliebig;;;;;;1;30
G10167;G10167;CENOS Grytschana Bjala 4x100gr;Eigenmarke;5,00;13,08;0;;1;beliebig;;;;;;1;20
G10168;G10168;CENOS Jatzmena Mazurska 4x100gr;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;20
G10169;G10169;CENOS Jatzmen Wijska 4x100gr;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;20
G10170;G10170;"CENOS Kasza gryczana prazona 400g x 12St.""";Eigenmarke;5,00;11,88;0;;1;beliebig;;;;;;1;20
G10171;G10171;"CENOS  Kasza jaglana 400g x 12St""";Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;20
G10172;G10172;"CENOS  Kasza owsiana 400g 12stk""";Eigenmarke;5,00;11,88;0;;1;beliebig;;;;;;1;20
G10173;G10173;CENOS Owsjana Kasza 4x100gr;Eigenmarke;5,00;14,28;0;;1;beliebig;;;;;;1;20
G10174;G10174;CENOS Perlowa 4x100gr  x 12st;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;20
G10175;G10175;CENOS Pieszak Jeczmienna 4x100gr;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;20
G10176;G10176;Cheetos XL145 gr x 14st  Cebulka;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10177;G10177;Cheetos XL145 gr x 14st  Ser - Ketchup;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10178;G10178;Cheetos XL155 gr x 14st  Pizzerini;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10179;G10179;Cheetos XL165 gr x 14st  Ketchup;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10180;G10180;Cheetos XL165 gr x 14st Paprika;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10181;G10181;Cheetos XL165 gr x 14st  Ser;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10182;G10182;Chips maslo z sola135g x 9 St.;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10183;G10183;Chips Wiejskie Ziemniaczki 130g x 16stk.;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10184;G10184;Chrupki solone 110 gr x 14 st;Eigenmarke;5,00;15,26;0;;1;beliebig;;;;;;1;62
G10185;G10185;Cikoriy Zelatyna spozywcza 20St. x 50g;Eigenmarke;5,00;15;0;;1;beliebig;;;;;;1;53
G10186;G10186;Cini minis 500gr x 15st;Eigenmarke;5,00;34,35;0;;1;beliebig;;;;;;1;62
G10187;G10187;Contimax 300ml x 12 st Filett Sledza w;Eigenmarke;5,00;15,48;0;;1;beliebig;;;;;;1;42
G10188;G10188;Contimax 600mlx6st Fisch;Eigenmarke;5,00;17,94;0;;1;beliebig;;;;;;1;42
G10189;G10189;Copernicus Haselnuss Vodka 32% 0,5l x 6stk;Eigenmarke;16,00;38,94;0;;1;beliebig;;;;;;1;69
G10190;G10190;Costa 2 Litra x 6 st;Eigenmarke;16,00;7,14;0;;1;beliebig;;;;;;1;73
G10191;G10191;Cracker Sun 250g x 20St.;Eigenmarke;5,00;2,7;0;;1;beliebig;;;;;;1;62
G10192;G10192;Cracker Zoo 250g x 24St.;Eigenmarke;5,00;9;0;;1;beliebig;;;;;;1;62
G10193;G10193;Cuker Wanilowe 30 st x 32 gr;Eigenmarke;5,00;5,7;0;;1;beliebig;;;;;;1;24
G10194;G10194;CukryNyskie - Herbatniki z cukrem 230g x 12Stk.;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;58
G10195;G10195;Cykoria Backpulver 18g x 45stk;Eigenmarke;5,00;11,25;0;;1;beliebig;;;;;;1;24
G10196;G10196;Dawtona Apfelmus 720 ml x 6 st;Eigenmarke;5,00;13,74;0;;1;beliebig;;;;;;1;43
G10197;G10197;Dawtona Barszcz Czerwony 1,1l x 6Stk.;Eigenmarke;5,00;7,74;0;;1;beliebig;;;;;;1;52
G10198;G10198;Dawtona Fasola Biala konserwowa 400g x 6St.;Eigenmarke;5,00;4,74;0;;1;beliebig;;;;;;1;39
G10199;G10199;Dawtona Fasola czerwona konserwowa 400g x 6St.;Eigenmarke;5,00;4,74;0;;1;beliebig;;;;;;1;39
G10200;G10200;Dawtona Groszek Konzerwowe 400 ml x 12st;Eigenmarke;5,00;5,88;0;;1;beliebig;;;;;;1;39
G10201;G10201;Dawtona Koncentrat pomidorowy 200g x 12St.;Eigenmarke;5,00;7,44;0;;1;beliebig;;;;;;1;39
G10202;G10202;Dawtona Powidlo  Sliwkowe 280gr/6st;Eigenmarke;5,00;7,74;0;;1;beliebig;;;;;;1;39
G10203;G10203;Dawtona Sok Burakow z Jablkem 330mlx12st;Eigenmarke;5,00;5,04;0;;1;beliebig;;;;;;1;69
G10204;G10204;dawtona Sok wielowarzywny 330ml x 12stk;Eigenmarke;16,00;5,04;0;;1;beliebig;;;;;;1;69
G10205;G10205;Dawtona Zurek 1litr x 6st;Eigenmarke;5,00;5,94;0;;1;beliebig;;;;;;1;53
G10206;G10206;Debowa Polska Wodka im Fass;Eigenmarke;16,00;39,99;0;;1;beliebig;;;;;;1;69
G10207;G10207;Debowa Wurst;Eigenmarke;5,00;4,29;0;;1;beliebig;;;;;;1;38
G10208;G10208;Dega Paprikarsz  z Lososia 135 gr x 12st;Eigenmarke;5,00;6,6;0;;1;beliebig;;;;;;1;42
G10209;G10209;Dega Paprykasz Szczecinski 250g x 12St.;Eigenmarke;5,00;9,48;0;;1;beliebig;;;;;;1;42
G10210;G10210;Dega Salatka Pikantna z Lososia 135 gr x 12st;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;42
G10211;G10211;Dega Salatka Pikantna Z makreli 12st x135gr;Eigenmarke;5,00;6,6;0;;1;beliebig;;;;;;1;42
G10212;G10212;Dega Salatka Rybna Neptun 135g x 12;Eigenmarke;5,00;6,6;0;;1;beliebig;;;;;;1;42
G10213;G10213;Delecta Babeczki czekoladowe 6St. x 265g;Eigenmarke;5,00;11,88;0;;1;beliebig;;;;;;1;24
