ordernumber;image;main;description;position;width;height;relations
G10199;http://shopware.p562114.webspaceconfig.de/media/image/6b/g0/f5/Dawtona-Fasola-czerwona-konserwowa.jpg;1;;1;0;0;
G10200;http://shopware.p562114.webspaceconfig.de/media/image/86/44/5e/Dawtona-Groszek-Konserwowy.jpg;1;;1;0;0;
G10201;http://shopware.p562114.webspaceconfig.de/media/image/76/2d/43/Dawtona-Koncentrat-pomidorowy-200g.jpg;1;;1;0;0;
G10202;http://shopware.p562114.webspaceconfig.de/media/image/5e/83/a7/Dawtona-Powidlo-Sliwkowe-280.jpg;1;;1;0;0;
G10203;http://shopware.p562114.webspaceconfig.de/media/image/2a/04/d1/Dawtona-Sok-Burakow-z-Jab-kiem-330.jpg;1;;1;0;0;
G10204;http://shopware.p562114.webspaceconfig.de/media/image/20/16/e5/dawtona-Sok-wielowarzywny-330.jpg;1;;1;0;0;
G11106;http://shopware.p562114.webspaceconfig.de/media/image/51/ce/1c/Mais-Dawtona-385ml.jpg;1;;1;0;0;
G11707;http://shopware.p562114.webspaceconfig.de/media/image/33/d6/1b/dawtonapomidorowysok330ml.png;1;;1;0;0;
G11708;http://shopware.p562114.webspaceconfig.de/media/image/5c/a3/29/Sok-Dawtona-Welowarzywny-Pomidorowe.jpg;1;;1;0;0;
G11917;http://shopware.p562114.webspaceconfig.de/media/image/e4/3c/d5/Pasta-Dawtona-90-g.jpg;1;;1;0;0;
G11274;http://shopware.p562114.webspaceconfig.de/media/image/05/ef/0e/Paprika-Dawtona-780ml.jpg;1;;1;0;0;
G10042;http://shopware.p562114.webspaceconfig.de/media/image/f6/b5/af/Amino-Ogorkowa-Zup.jpg;1;;1;0;0;
G10021;http://shopware.p562114.webspaceconfig.de/media/image/ba/9d/84/Alex-Pol-Pirogi-z-Grybami-Lesnymi.png;1;;1;0;0;
G10028;http://shopware.p562114.webspaceconfig.de/media/image/c6/c4/79/Alex-Pol-Pirogi-z-Spinatem-i-Serem.jpg;1;;1;0;0;
G10034;http://shopware.p562114.webspaceconfig.de/media/image/39/8b/31/Alex-Pol-Pirogi-z-Grybami-Lesnymit63hRg6dilDci.png;1;;1;0;0;
G10050;http://shopware.p562114.webspaceconfig.de/media/image/91/a8/7d/Amino-Suppen-Grochowa-z-makaronem.jpg;1;;1;0;0;
G10059;http://shopware.p562114.webspaceconfig.de/media/image/1c/66/05/Amino-Suppen-Warzywna-58g.jpg;1;;1;0;0;
G10061;http://shopware.p562114.webspaceconfig.de/media/image/21/ba/92/Amino-Suppen-Warzywna-58gtJaXDjoId0glS.jpg;1;;1;0;0;
G10083;http://shopware.p562114.webspaceconfig.de/media/image/dd/43/ce/dobosz_logo_mico.png;1;;1;0;0;
G10084;http://shopware.p562114.webspaceconfig.de/media/image/8c/2f/8b/Babci-Cosi-Makaron-Domowy-2jajeczny-Nitka.jpg;1;;1;0;0;
