ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G10994;G10994;LovelyLollies 55g x 25 Stk.;;Eigenmarke;5;0,53;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;6;14,34;;0
G10995;G10995;Lï¿½wuschka 1kg  x 6 st Schokopraline;;Eigenmarke;5;4,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;500;;;;;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;10;13,9;;0
G10996;G10996;Loyd Ananas -Gruschka 20 t x2gr / 10 szt Mokate;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;12;16,68;;0
G10997;G10997;Loyd CITRUS TEA 40 gr x 10 st;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;6;5,94;;0
G10998;G10998;Loyd Dika roza z Jabkem 20 Beutel x2gr /10st;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;6;6,54;;0
G10999;G10999;Loyd Gruï¿½ner Tee Lemon 20 Beutel x 2 gr/10Stk;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;8;11,6;;0
G11000;G11000;loyd Jagoda z Jezyna 20 beutel x 2 gr /10st;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;6;5,94;;0
G11001;G11001;Loyd Malina i Truskawka 20 beutel x 2 gr /10st;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;6;7,14;;0
G11002;G11002;lubisie 27st x 25 gr Buchstaben!;;Eigenmarke;5;0,25;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;27;27;500;1;27;St;4;;0;0;;0;;;;;;;;;24;;;;;;;;;;;;;;;;;;6;6,54;;0
G11003;G11003;Lubisie 30g x 24stk;;Eigenmarke;5;0,25;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;24;24;500;1;24;St;4;;0;0;;0;;;;;;;;;24;;;;;;;;;;;;;;;;;;10;5,9;;0
